batch_id,mti_term_id,strongs,translit,gloss,lang,reg_no,reg_word,routing,vcnew_ops,vcrevise_ops,vcsbflags_ops,vcsdpointers_ops,vcrecovery_ops,verses,groups,vc_rows,has_sb_flag,has_ph2_flag
VCB-10,892,G0724,harpagē,plunder,Greek,70,greed,NO-CHANGE,0,0,0,0,0,3,2,3,0,0
VCB-10,5493,G0726,harpazō,to seize,Greek,70,greed,NO-CHANGE,0,0,0,0,0,13,5,13,0,0
VCB-10,893,G4123,pleonektēs,greedy,Greek,70,greed,NO-CHANGE,0,0,0,0,0,4,1,4,0,0
VCB-10,6115,G0577,apoballō,to throw away,Greek,131,rejection,NO-CHANGE,0,0,0,0,0,2,2,2,0,0
VCB-10,1094,G0580,apobolē,deprivation,Greek,131,rejection,NO-CHANGE,0,0,0,0,0,2,1,2,0,0
VCB-10,1096,H5951,a.li.tsut,exultation,Hebrew,132,rejoicing,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-10,1199,G0544,apeitheō,to disobey,Greek,165,unbelief,NO-CHANGE,0,0,0,0,0,14,5,14,0,1
VCB-10,1198,G0570,apistia,unbelief,Greek,165,unbelief,NO-CHANGE,0,0,0,0,0,11,8,11,1,0
VCB-10,6602,G1211,dē,so,Greek,165,unbelief,NO-CHANGE,0,0,0,0,0,5,4,5,0,0
VCB-10,4465,G4704,spoudazō,be eager,Greek,181,zeal,NO-CHANGE,0,0,0,0,0,11,2,11,0,0
VCB-10,4467,G4705,spoudaios,eager,Greek,181,zeal,NO-CHANGE,0,0,0,0,0,2,2,2,0,0
VCB-10,1268,G4710,spoudē,diligence,Greek,181,zeal,NO-CHANGE,0,0,0,0,0,12,11,12,1,0
VCB-11,819,G0543,apeitheia,disobedience,Greek,50,disobedience,NO-CHANGE,0,0,0,0,0,6,2,6,0,0
VCB-11,820,G3876,parakoē,disobedience,Greek,50,disobedience,NO-CHANGE,0,0,0,0,0,3,1,3,0,0
VCB-11,5111,G3878,parakouō,to ignore,Greek,50,disobedience,NEW-ONLY,1,0,0,0,0,2,1,2,1,0
VCB-11,3392,G1760,enthumeomai,to reflect on,Greek,85,imagination,NO-CHANGE,0,0,0,0,0,3,1,3,0,0
VCB-11,917,G1761,enthumēsis,reflection,Greek,85,imagination,REVISE-ONLY,0,1,0,0,0,4,1,4,1,0
VCB-11,916,H4906,mas.kit,figure,Hebrew,85,imagination,NEW-ONLY,3,0,0,0,0,6,1,6,1,0
VCB-11,1432,G3116,makrothumōs,patiently,Greek,115,passion,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-11,5948,G3392,miainō,to stain,Greek,115,passion,NO-CHANGE,0,0,0,0,0,4,1,4,1,0
VCB-11,1023,G3394,miasmos,defilement,Greek,115,passion,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-11,1295,G3552,noseō,be sick,Greek,193,craving,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-11,7222,G3554,nosos,illness,Greek,193,craving,NO-CHANGE,0,0,0,0,0,11,1,11,0,0
VCB-11,1296,G3713,oregō,to aspire,Greek,193,craving,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-11,1362,G3339,metamorfoō,to transform,Greek,202,transformation,NO-CHANGE,0,0,0,0,0,4,2,4,1,0
VCB-11,7377,G3445,morfoō,to form,Greek,202,transformation,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-11,1364,H2498,cha.laph,to pass,Hebrew,202,transformation,NEW-ONLY,17,0,0,0,0,27,4,27,4,0
VCB-13,885,G0019,agathōsunē,goodness,Greek,67,goodness,NO-CHANGE,0,0,0,0,0,4,1,4,0,0
VCB-13,886,G5544,chrēstotēs,kindness,Greek,67,goodness,REVISE-ONLY,0,1,0,0,0,7,2,7,1,0
VCB-13,884,H2896A,tov,pleasant,Hebrew,67,goodness,NO-CHANGE,0,0,0,0,0,306,9,306,0,0
VCB-13,5480,G2168,eucharisteō,to thank,Greek,69,gratitude,REVISE-ONLY,0,1,0,0,0,38,1,38,1,0
VCB-13,891,G2169,eucharistia,thankfulness,Greek,69,gratitude,NO-CHANGE,0,0,0,0,0,15,1,15,0,0
VCB-13,5481,G2170,eucharistos,thankful,Greek,69,gratitude,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-13,935,G0861,aftharsia,incorruptibility,Greek,92,integrity,NO-CHANGE,0,0,0,0,0,6,2,6,0,0
VCB-13,933,H8538,tum.mah,integrity,Hebrew,92,integrity,NO-CHANGE,0,0,0,0,0,5,1,5,0,0
VCB-13,934,H8549G,ta.mim,unblemished,Hebrew,92,integrity,NEW-ONLY,45,0,0,0,0,51,2,51,0,0
VCB-13,1080,G1256,dialegō,to dispute,Greek,127,reasoning,NO-CHANGE,0,0,0,0,0,13,1,13,0,0
VCB-13,6065,G1258,dialektos,language,Greek,127,reasoning,NO-CHANGE,0,0,0,0,0,6,1,6,0,0
VCB-13,1081,G1261,dialogismos,reasoning,Greek,127,reasoning,NO-CHANGE,0,0,0,0,0,14,2,14,0,0
VCB-13,1221,H2181,za.nah,to fornicate,Hebrew,171,whoredom,NO-CHANGE,0,0,0,0,0,83,5,83,0,0
VCB-13,1220,H2183,ze.nu.nim,fornication,Hebrew,171,whoredom,REVISE-ONLY,0,1,0,0,0,10,1,10,0,0
VCB-13,1222,H2184,ze.nut,fornication,Hebrew,171,whoredom,NO-CHANGE,0,0,0,0,0,9,1,9,0,0
VCB-7,6132,G0341,anakainoō,to renew,Greek,134,renewal,NO-CHANGE,0,0,0,0,0,2,1,2,0,0
VCB-7,1097,G0342,anakainōsis,renewal,Greek,134,renewal,NO-CHANGE,0,0,0,0,0,2,1,2,0,0
VCB-7,6136,H2475,cha.loph,destruction,Hebrew,134,renewal,REVISE-ONLY,0,2,0,0,0,1,0,1,0,0
VCB-7,1098,H2487,cha.li.phah,change,Hebrew,134,renewal,MIXED,8,8,0,0,0,11,1,11,0,0
VCB-7,6135,H2500,che.leph,for,Hebrew,134,renewal,NEW-ONLY,2,0,0,0,0,2,0,2,0,0
VCB-7,6137,H4252,ma.cha.laph,knife,Hebrew,134,renewal,NEW-ONLY,1,0,0,0,0,1,0,1,0,0
VCB-7,6134,H4253,ma.cha.la.phah,lock,Hebrew,134,renewal,REVISE-ONLY,0,4,0,0,0,3,0,3,0,0
VCB-8,939,G3863,parazēloō,to make envious,Greek,96,jealousy,REVISE-ONLY,0,2,0,0,0,4,2,4,0,0
VCB-8,1099,G1345,dikaiōma,righteous act,Greek,139,righteousness,NO-CHANGE,0,0,0,0,0,10,1,10,1,0
VCB-8,1264,H4263,mach.mal,compassion,Hebrew,179,yearning,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-8,1365,G4273,prodotēs,traitor,Greek,203,treachery,NO-CHANGE,0,0,0,0,0,3,1,3,0,0
VCB-9,5001,G3435,molunō,to defile,Greek,41,defilement,NO-CHANGE,0,0,0,0,0,3,1,3,0,0
VCB-9,787,G3436,molusmos,defilement,Greek,41,defilement,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
VCB-9,922,G0024,aganaktēsis,indignation,Greek,87,indignation,NO-CHANGE,0,0,0,0,0,1,1,1,0,0
