cluster,cluster_name,strongs,translit,language,n_keywords,self_check,keywords,suspect
M01,Fear,G0085,ademoneo,Greek,7,PASS,"distressed; troubled; depressed; dejected; full; anguish; sorrow",
M01,Fear,G0318,anankē,Greek,11,PASS,"necessity; constraint; compulsion; obligation; duty; moral; spiritual; distress; trial; affliction; hardship",
M01,Fear,G1167,deilia,Greek,2,PASS,"timidity; cowardice",
M01,Fear,G1168,deiliaō,Greek,4,PASS,"timid; afraid; cowardly; fear",
M01,Fear,G1169,deilos,Greek,4,PASS,"timid; afraid; cowardly; fearful",
M01,Fear,G1568,ekthambeo,Greek,8,PASS,"awe-struck; overwhelmed; wonder; distressed; alarmed; pas; amazed; astonished",
M01,Fear,G1569,ekthambos,Greek,1,PASS,"astonished",
M01,Fear,G1630,ekfobos,Greek,3,PASS,"terrified; frightened; horrified",
M01,Fear,G1719,emfobos,Greek,3,PASS,"afraid; terrified; terrible",
M01,Fear,G1790,entromos,Greek,2,PASS,"trembling; terrified",
M01,Fear,G2285,thambos,Greek,4,PASS,"amazement; astonishment; wonder; awe",
M01,Fear,G4422,ptoeō,Greek,8,PASS,"frighten; startled; frightenedfrighten; terrify; affright; passive; terrified; frightened",frightenedfrighten
M01,Fear,G4423,ptoēsis,Greek,6,PASS,"fear; something; alarming; consternation; dismay; frightening",
M01,Fear,G4426,pturomai,Greek,7,PASS,"frighten; frightened; scare; terrify; passive; terrified; consternation",
M01,Fear,G5156,tromos,Greek,13,PASS,"trembling; fear; primarily; quaking; terror; agitation; mind; anxious; solemn; responsibility; reverence; veneration; awe",
M01,Fear,G5398,foberos,Greek,3,PASS,"fearful; dreadful; terrible",
M01,Fear,G5399,fobeō,Greek,30,PASS,"fear; afraid; alarmed; contexts; improper; impediment; faith; love; reverence; respect; worship; proper; god; deep; awe; active; but; only; occurs; passive; literature; dread; reverentially; reluctant; scruple; apprehensive; fearfully; anxious; fearful; impressed",
M01,Fear,G5400,fobētron,Greek,8,PASS,"fearful; eventthing; something; inspires; terror; terrible; sight; event",
