cluster,cluster_name,strongs,translit,type,type_mix,n_keywords,keywords
M01,Fear,G0085,ademoneo,ACTION,A100,7,"distressed; troubled; depressed; dejected; full; anguish; sorrow"
M01,Fear,G0318,anankē,STATUS,S100,10,"necessity; constraint; compulsion; obligation; duty; spiritual; distress; trial; affliction; hardship"
M01,Fear,G1167,deilia,STATUS,S100,2,"timidity; cowardice"
M01,Fear,G1168,deiliaō,ACTION,A100,4,"timid; afraid; cowardly; fear"
M01,Fear,G1169,deilos,QUALITY,Q100,4,"timid; afraid; cowardly; fearful"
M01,Fear,G1568,ekthambeo,ACTION,A100,7,"awe-struck; overwhelmed; wonder; distressed; alarmed; amazed; astonished"
M01,Fear,G1569,ekthambos,QUALITY,Q100,1,"astonished"
M01,Fear,G1630,ekfobos,QUALITY,Q100,3,"terrified; frightened; horrified"
M01,Fear,G1719,emfobos,QUALITY,Q100,3,"afraid; terrified; terrible"
M01,Fear,G1790,entromos,QUALITY,Q100,2,"trembling; terrified"
M01,Fear,G2285,thambos,STATUS,S100,4,"amazement; astonishment; wonder; awe"
M01,Fear,G4422,ptoeō,ACTION,A100,7,"frighten; startled; frightenedfrighten; terrify; affright; terrified; frightened"
M01,Fear,G4423,ptoēsis,STATUS,S100,5,"fear; alarming; consternation; dismay; frightening"
M01,Fear,G4426,pturomai,ACTION,A100,6,"frighten; frightened; scare; terrify; terrified; consternation"
M01,Fear,G5156,tromos,STATUS,S100,12,"trembling; fear; quaking; terror; agitation; mind; anxious; solemn; responsibility; reverence; veneration; awe"
M01,Fear,G5398,foberos,QUALITY,Q100,3,"fearful; dreadful; terrible"
M01,Fear,G5399,fobeō,ACTION,A100,25,"fear; afraid; alarmed; contexts; impediment; faith; love; reverence; worship; god; deep; awe; but; only; occurs; literature; dread; reverentially; reluctant; scruple; apprehensive; fearfully; anxious; fearful; impressed"
M01,Fear,G5400,fobētron,STATUS,S100,7,"fearful; eventthing; inspires; terror; terrible; sight; event"
M01,Fear,G5401,fobos,STATUS,S100,12,"fear; terror; reverence; affright; astonishment; amazement; trembling; concern; object; reverential; awe; deference"
M01,Fear,G6015,deos,STATUS,S100,5,"fear; reverence; awe; manuscripts; list"
M01,Fear,H0366,a.yom,QUALITY,Q100,2,"terrible; dreadful"
M01,Fear,H0367,e.mah,STATUS,S100,2,"terror; dread"
M01,Fear,H0926,ba.hal,ACTION,A100,10,"dismay; disturb; alarm; terrify; hurry; disturbed; anxious; afraid; hurried; nervous"
M01,Fear,H0927,be.hal,QUALITY,Q100,6,"dismay; frighten; alarm; hurry; hasten; alarmed"
M01,Fear,H0928,be.ha.lah,STATUS,S100,5,"dismay; sudden; terror; ruin; alarm"
M01,Fear,H1091,bal.la.hah,STATUS,S100,5,"terror; destruction; calamity; dreadful; event"
M01,Fear,H1205,be.a.tah,STATUS,S100,2,"terror; dismay"
M01,Fear,H1481C,gur,ACTION,A100,4,"dread; fear; awe; afraid"
M01,Fear,H1670,de.a.vah,STATUS,S100,5,"dismay; faintness; failure; mental; energy"
M01,Fear,H1674,de.a.gah,STATUS,S100,3,"anxiety; anxious; care"
M01,Fear,H1763,de.chal,QUALITY,Q100,1,"fear"
M01,Fear,H2113,ze.va.ah,STATUS,S100,4,"trembling; horror; object; terror"
M01,Fear,H2119B,za.chal,ACTION,A100,2,"fear; afraid"
M01,Fear,H2189,za.a.vah,STATUS,S100,4,"horror; trembling; object; terror"
M01,Fear,H2283,chag.ga,STATUS,S100,2,"terror; reeling"
