"File","StoryCount"
"psalms__anger-wrath-vexation__narratives.md","15"
"psalms__being-heard-listening__narratives.md","20"
"psalms__being-searched-tested-by-god__narratives.md","14"
"psalms__blessing-benediction__narratives.md","65"
"psalms__confession-forgiveness__narratives.md","3"
"psalms__deceit-falsehood__narratives.md","41"
"psalms__desire-longing-appetite__narratives.md","72"
"psalms__faint-despair-languishing__narratives.md","51"
"psalms__faith-faithfulness-truth__narratives.md","25"
"psalms__fear-of-god-awe__narratives.md","78"
"psalms__grace-mercy-compassion__narratives.md","16"
"psalms__grief-lament-sorrow__narratives.md","31"
"psalms__hope-waiting__narratives.md","40"
"psalms__humility-lowliness-contrition__narratives.md","39"
"psalms__inner-seat-heart-soul-spirit__narratives.md","167"
"psalms__joy-gladness__narratives.md","95"
"psalms__keeping-guarding-vigilance__narratives.md","24"
"psalms__knowing-understanding__narratives.md","92"
"psalms__life-death-vitality__narratives.md","10"
"psalms__lifting-bearing__narratives.md","21"
"psalms__love-devotion__narratives.md","25"
"psalms__malice-enmity-persecution__narratives.md","53"
"psalms__memory-remembrance__narratives.md","40"
"psalms__other-uncategorised__narratives.md","55"
"psalms__praise-extol-sing__narratives.md","167"
"psalms__prayer-petition-crying-out__narratives.md","103"
"psalms__pride-arrogance-scoffing__narratives.md","37"
"psalms__rebellion-stubbornness__narratives.md","31"
"psalms__rest-stillness-peace__narratives.md","10"
"psalms__restoration-revival-satisfaction__narratives.md","19"
"psalms__righteousness-integrity__narratives.md","69"
"psalms__seeking-inquiring__narratives.md","35"
"psalms__shame-confusion__narratives.md","24"
"psalms__sin-guilt-iniquity__narratives.md","55"
"psalms__speech-mouth-tongue__narratives.md","42"
"psalms__strength-courage-steadfastness__narratives.md","8"
"psalms__thanksgiving__narratives.md","45"
"psalms__torah-obedience-word__narratives.md","4"
"psalms__trust-refuge-security__narratives.md","77"
"psalms__turning-repentance__narratives.md","14"
"psalms__violence-cruelty__narratives.md","21"
"psalms__walk-way-conduct__narratives.md","46"
"psalms__wickedness-ungodliness__narratives.md","51"
"psalms__will-resolve-vow-intent__narratives.md","34"
"psalms__wisdom-folly-teaching__narratives.md","39"
"psalms__worship-prostration-service__narratives.md","25"
